Algorithm,LB,Obj
Source,98815,143429
Source,98815,149282
Source,98815,148183
Source,98815,146329
Source,98815,153701
Source,167657,236000
Source,167657,228428
Source,167657,225565
Source,167657,224910
Source,167657,225975
Source,38745,64580
Source,38745,66409
Source,38745,66588
Source,38745,68293
Source,38745,61521
Source,560,2294
Source,560,2066
Source,560,2052
Source,560,2108
Source,560,2046
Source,1760,4954
Source,1760,4852
Source,1760,4792
Source,1760,4866
Source,1760,4822
Source,3600,6702
Source,3600,6648
Source,3600,6560
Source,3600,6490
Source,3600,6700
Source,280,309
Source,280,312
Source,280,308
Source,280,307
Source,280,304
Source,555,585
Source,555,584
Source,555,583
Source,555,588
Source,555,597
Source,803,850
Source,803,845
Source,803,848
Source,803,848
Source,803,850
Source,23617,35579
Source,23617,36027
Source,23617,35649
Source,23617,36997
Source,23617,36935
Source,50962,77056
Source,50962,76290
Source,50962,78417
Source,50962,77752
Source,50962,76995
Source,81661,120343
Source,81661,116435
Source,81661,117549
Source,81661,116032
Source,81661,118579
Source,13284,56554
Source,13284,55974
Source,13284,55324
Source,13284,57628
Source,13284,59150
Source,46402,133310
Source,46402,128630
Source,46402,123184
Source,46402,124380
Source,46402,130410
Source,102306,165406
Source,102306,163246
Source,102306,165782
Source,102306,163480
Source,102306,162622
Source,656,2988
Source,656,2686
Source,656,2856
Source,656,2966
Source,656,2836
Source,2322,6288
Source,2322,6428
Source,2322,6294
Source,2322,6036
Source,2322,6258
Source,5118,8214
Source,5118,8350
Source,5118,8336
Source,5118,8474
Source,5118,8614
Source,173493,290443
Source,173493,281875
Source,173493,272747
Source,173493,284599
Source,173493,287725
Source,297068,444390
Source,297068,431105
Source,297068,440027
Source,297068,434076
Source,297068,432728
Source,70127,133458
Source,70127,126496
Source,70127,126340
Source,70127,130728
Source,70127,132600
Source,92580,120019
Source,92580,117902
Source,92580,120176
Source,92580,119098
Source,92580,120078
Source,23625,36398
Source,23625,34120
Source,23625,37432
Source,23625,36547
Source,23625,33980
Source,57263,78685
Source,57263,71903
Source,57263,77366
Source,57263,74536
Source,57263,78471
